"優先度","営業先","主なブランド・施設","主なエリア","狙う部署・担当","営業仮説","提案切り口","初回アクション","公式URL"
"A","株式会社JHAT","hotel MONday / MONday Apart / イチホテル","東京、舞浜、大阪、京都","運営本部、施設責任者、開業準備担当","アパートメントホテルと新規開業が多く、清掃体制の標準化・人材確保ニーズが高い","新規開業時の清掃立ち上げ、現場責任者配置、ファミリー客室の品質安定","開業・運営本部宛に舞浜・東京エリアの清掃立ち上げ支援を提案","https://jhat-m.com/"
"A","株式会社SQUEEZE","Minn / Theatel / KARIO","東京、羽田、上野、浅草ほか","ホテル運営、オペレーション、施設開発","無人・省人運営モデルでは、バックヤード清掃の品質と報告体制が重要","セルフチェックイン型施設向けの清掃品質管理、報告フロー、口コミ改善","Minn東京エリア向けに省人運営に合う清掃管理を提案","https://squeeze-inc.co.jp/"
"A","Section L","Section L apartment hotels","東京","オペレーション、施設責任者","長期滞在・ファミリー向け客室は清掃項目が多く、通常ホテルより品質ばらつきが出やすい","長期滞在客室の定期清掃、チェックアウト清掃、備品点検","東京の各施設に本部紹介依頼、または問い合わせフォームから提案","https://section-l.co/"
"A","KOKO HOTELS / ポラリスHDグループ","KOKO HOTELほか","東京、神奈川、全国","運営会社、購買、施設管理","リブランド・多ブランド運営では清掃基準の統一が課題になりやすい","ブランド転換時の清掃標準化、現場教育、口コミ改善","KOKO HOTELS運営会社宛に首都圏施設の清掃改善提案","https://koko-hotels.com/company_ja"
"A","H.I.S.ホテルホールディングス株式会社","変なホテル / ウォーターマークホテル","東京、舞浜、全国","運営本部、施設責任者","テクノロジー活用ホテルはフロント省人化が進む一方、客室清掃の安定運用が差別化要素になる","省人ホテル向け清掃品質、現場報告、繁忙期応援体制","変なホテル東京・舞浜エリアを想定した清掃運用提案","https://www.hishotelgroup.com/company/"
"A","東急リゾーツ＆ステイ株式会社","東急ステイ","東京中心、全国","東急ステイ運営、施設管理","洗濯乾燥機・電子レンジ付き客室が多く、一般客室より点検・清掃項目が多い","滞在型ホテル向けの客室設備点検込み清掃、長期滞在清掃","東京エリアの東急ステイ向けに設備点検込み清掃を提案","https://www.tokyustay.co.jp/"
"A","京急イーエックスインホテルグループ","京急 EXイン / 京急 EXホテル","東京、神奈川","運営本部、各ホテル支配人","駅近・宿泊主体型で稼働変動が大きく、人員手配と清掃スピードが重要","駅近ホテルの短時間清掃、繁忙期人材確保、定例改善会","品川・横浜・羽田周辺施設から接点化","https://www.keikyu-exinn.co.jp/list.html"
"A","日本ホテル株式会社 / JR東日本ホテルメッツ","JR東日本ホテルメッツ","東京、神奈川、千葉、埼玉","運営本部、施設責任者","駅直結・駅近ホテルは安定品質と時間厳守が重要","駅近ホテル向けの清掃進行管理、口コミ起点の改善提案","首都圏ホテルメッツへの実績紹介資料を送付","https://www.hotelmets.jp/contents/hotel_list.html"
"A","相鉄ホテルマネジメント","相鉄フレッサイン","東京、神奈川、全国","運営本部、購買、施設管理","43施設規模で宿泊主体型の標準化ニーズが高い","多店舗清掃品質の標準化、人材確保、現場責任者育成","日本橋・横浜・品川周辺施設から提案","https://sotetsu-hotels.com/fresa-inn/hotel/"
"A","株式会社ホスピタリティオペレーションズ","スマイルホテル / スマイルホテルプレミアム","東京、千葉、神奈川、全国","ホテル運営事業部、施設責任者","多ブランド・宿泊主体型ホテルで、清掃ベンダー切替・部分委託の余地がある","宿泊主体型ホテルの清掃請負、チェッカー育成、繁忙期補完","実績資料を添えて首都圏施設の部分受託を提案","https://www.hospitality-operations.co.jp/business/hotel/"
"A","ベッセルホテルズ","ベッセルイン / レフ by ベッセルホテルズ","東京、千葉、埼玉、全国","運営本部、施設責任者","首都圏に複数施設があり、朝食・家族利用など清掃動線が複雑化しやすい","上野・浅草・高田馬場・千葉・大宮エリアの清掃品質安定","首都圏施設を束ねたエリア提案","https://www.vessel-hotel.jp/grouplist/"
"A","株式会社イシン・ホテルズ・グループ","the b hotels","東京、全国主要都市","運営本部、施設責任者","都市型ホテルで交通利便性が高く、客室回転・口コミ品質が重要","都市型ホテル向け短時間清掃、品質チェック、改善会","the b 東京エリアへ清掃品質改善提案","https://www.ishinhotels.com/"
"B","株式会社マイステイズ・ホテル・マネジメント","HOTEL MYSTAYS / FLEXSTAY INNなど","東京、神奈川、千葉、全国","購買、運営本部、エリアマネージャー","170棟超の多店舗運営で横展開余地が大きいが、商談難度は高い","既存ベンダーの補完、繁忙期応援、特定施設の品質改善","まずは首都圏1施設のスポット・補完提案","https://corporate.mystays.com/"
"B","ダイワロイネットホテルズ株式会社","ダイワロイネットホテル","東京、神奈川、千葉、全国","運営管理、購買、施設責任者","宿泊主体型ホテルで客室数が多く、安定稼働・品質維持ニーズが高い","清掃品質の標準化、現場責任者派遣、教育体制","首都圏施設の清掃見直しタイミングを確認","https://daiwaroynet.co.jp/"
"B","株式会社共立メンテナンス","ドーミーイン / 御宿 野乃","東京、千葉、神奈川、全国","ドーミーイン事業、施設責任者","大浴場・夜鳴きそばなど付帯サービスが多く、清掃範囲が広い","客室清掃に加え共用部・品質チェック・人材教育","客室清掃の補完、繁忙期応援から提案","https://www.kyoritsugroup.co.jp/service/resort/"
"B","ルートインジャパン株式会社","ホテルルートイン","首都圏、全国","運営本部、各ホテル支配人","全国規模の標準運営。地域ごとの人材不足対策に余地","地域別の清掃人材補完、現場教育、安定稼働","関東エリアのホテルへ提案窓口を確認","https://www.route-inn.co.jp/company/about/"
"B","株式会社スーパーホテル","スーパーホテル","東京、神奈川、千葉、埼玉、全国","運営本部、施設責任者","高稼働・低価格帯では清掃効率と品質の両立が重要","短時間清掃、教育マニュアル、口コミ改善","首都圏施設への補完提案","https://www.superhotel.co.jp/kaisya_r/company/summary.html"
